UID,lastName,firstName,state,party,party_code,district
K000367,Klobuchar,Amy,Minnesota,Democratic,D,0
K000383,King,"Angus S., Jr.",Maine,Independent,Other,0
K000394,Kim,Andy,New Jersey,Democratic,D,0
K000393,Kennedy,John,Louisiana,Republican,R,0
K000377,Kelly,Mark,Arizona,Democratic,D,0
K000384,Kaine,Tim,Virginia,Democratic,D,0
J000312,Justice,James C.,West Virginia,Republican,R,0
J000293,Johnson,Ron,Wisconsin,Republican,R,0
H001079,Hyde-Smith,Cindy,Mississippi,Republican,R,0
H001104,Husted,Jon,Ohio,Republican,R,0
H001061,Hoeven,John,North Dakota,Republican,R,0
H001042,Hirono,Mazie K.,Hawaii,Democratic,D,0
H000273,Hickenlooper,John W.,Colorado,Democratic,D,0
H001046,Heinrich,Martin,New Mexico,Democratic,D,0
H001089,Hawley,Josh,Missouri,Republican,R,0
H001076,Hassan,Margaret Wood,New Hampshire,Democratic,D,0
H000601,Hagerty,Bill,Tennessee,Republican,R,0
G000386,Grassley,Chuck,Iowa,Republican,R,0
G000359,Graham,Lindsey,South Carolina,Republican,R,0
G000555,Gillibrand,Kirsten E.,New York,Democratic,D,0
G000574,Gallego,Ruben,Arizona,Democratic,D,0
F000463,Fischer,Deb,Nebraska,Republican,R,0
F000479,Fetterman,John,Pennsylvania,Democratic,D,0
E000295,Ernst,Joni,Iowa,Republican,R,0
D000563,Durbin,Richard J.,Illinois,Democratic,D,0
D000622,Duckworth,Tammy,Illinois,Democratic,D,0
D000618,Daines,Steve,Montana,Republican,R,0
C001114,Curtis,John R.,Utah,Republican,R,0
C001098,Cruz,Ted,Texas,Republican,R,0
C000880,Crapo,Mike,Idaho,Republican,R,0
C001096,Cramer,Kevin,North Dakota,Republican,R,0
C001095,Cotton,Tom,Arkansas,Republican,R,0
C001113,Cortez Masto,Catherine,Nevada,Democratic,D,0
C001056,Cornyn,John,Texas,Republican,R,0
C001088,Coons,Christopher A.,Delaware,Democratic,D,0
C001035,Collins,Susan M.,Maine,Republican,R,0
C001075,Cassidy,Bill,Louisiana,Republican,R,0
C001047,Capito,Shelley Moore,West Virginia,Republican,R,0
C000127,Cantwell,Maria,Washington,Democratic,D,0
B001305,Budd,Ted,North Carolina,Republican,R,0
B001319,Britt,Katie Boyd,Alabama,Republican,R,0
B001236,Boozman,John,Arkansas,Republican,R,0
B001288,Booker,Cory A.,New Jersey,Democratic,D,0
B001303,Blunt Rochester,Lisa,Delaware,Democratic,D,0
B001277,Blumenthal,Richard,Connecticut,Democratic,D,0
B001243,Blackburn,Marsha,Tennessee,Republican,R,0
B001267,Bennet,Michael F.,Colorado,Democratic,D,0
B001261,Barrasso,John,Wyoming,Republican,R,0
B001299,Banks,Jim,Indiana,Republican,R,0
B001230,Baldwin,Tammy,Wisconsin,Democratic,D,0
A000382,Alsobrooks,Angela D.,Maryland,Democratic,D,0
F000476,Frost,Maxwell,Florida,Democratic,D,10
M001245,Menefee,Christian D.,Texas,Democratic,D,18
O000134,Ottinger,Richard L.,New York,Democratic,D,20
C001120,Crenshaw,Dan,Texas,Republican,R,2
L000566,Latta,Robert E.,Ohio,Republican,R,5
H000114,Hamilton,Lee H.,Indiana,Democratic,D,9
C001118,Cline,Ben,Virginia,Republican,R,6
C001059,Costa,Jim,California,Democratic,D,21
W000320,Whalley,John,Pennsylvania,Republican,R,12
W000212,Watts,John,Kentucky,Democratic,D,6
T000217,Thompson,Standish,Georgia,Republican,R,5
T000134,Terry,John,New York,Republican,R,34
S000756,Springer,William,Illinois,Republican,R,22
S000739,Spong,William,Virginia,Democratic,D,0
S000590,Smith,Margaret,Maine,Republican,R,0
S000545,Smith,H. Allen,California,Republican,R,20
S000161,Schwengel,Frederick,Iowa,Republican,R,1
S000133,Schmitz,John,California,Republican,R,35
R000562,Ryan,William,New York,Democratic,D,20
R000536,Russell,Richard,Georgia,Democratic,D,0
R000143,Reid,Charlotte,Illinois,Republican,R,15
P000569,Purcell,Graham,Texas,Democratic,D,13
P000559,Pucinski,Roman,Illinois,Democratic,D,11
P000552,Prouty,Winston,Vermont,Republican,R,0
P000401,Poff,Richard,Virginia,Republican,R,6
P000366,Pirnie,Alexander,New York,Republican,R,32
P000196,Pelly,Thomas,Washington,Republican,R,1
O000058,O'Konski,Alvin,Wisconsin,Republican,R,10
M001078,Mundt,Karl,South Dakota,Republican,R,0
M001021,Morton,Rogers,Maryland,Republican,R,1
M001009,Morse,Frank,Massachusetts,Republican,R,5
M000847,Monagan,John,Connecticut,Democratic,D,5
M000730,Miller,Jack,Iowa,Republican,R,0
M000727,Miller,George,California,Democratic,D,8
M000568,McMillan,John,South Carolina,Democratic,D,6
M000513,McKevitt,James,Colorado,Republican,R,1
M000410,McDonald,Jack,Michigan,Republican,R,19
M000393,McCulloch,William,Ohio,Republican,R,4
L000429,Long,Speedy,Louisiana,Democratic,D,8
L000382,Lloyd,Sherman,Utah,Republican,R,2
L000333,Link,Arthur,North Dakota,Democratic,D,2
L000240,Lennon,Alton,North Carolina,Democratic,D,7
K000351,Kyl,John,Iowa,Republican,R,4
K000053,Keith,Hastings,Massachusetts,Republican,R,12
K000038,Kee,James,West Virginia,Democratic,D,5
J000269,Jordan,Leonard,Idaho,Republican,R,0
J000267,Jordan,Benjamin,North Carolina,Democratic,D,0
J000206,Jonas,Charles,North Carolina,Republican,R,9
H000947,Hull,William,Missouri,Democratic,D,6
H000566,Hicks,Louise,Massachusetts,Democratic,D,9
H000237,Harris,Fred,Oklahoma,Democratic,D,0
H000085,Halpern,Seymour,New York,Republican,R,6
H000049,Hall,Durward,Missouri,Republican,R,7
H000010,Hagen,George,Georgia,Democratic,D,1
G000458,Griffin,Charles,Mississippi,Democratic,D,3
G000071,Garmatz,Edward,Maryland,Democratic,D,3
G000034,Gambrell,David,Georgia,Democratic,D,0
G000016,Gallagher,Cornelius,New Jersey,Democratic,D,13
G000015,Galifianakis,Nick,North Carolina,Democratic,D,4
F000422,Fulton,James,Pennsylvania,Republican,R,27
E000112,Ellender,Allen,Louisiana,Democratic,D,0
E000068,Edwards,Elaine,Louisiana,Democratic,D,0
E000067,Edwards,Edwin,Louisiana,Democratic,D,7
E000054,Edmonds,Edmond,Oklahoma,Democratic,D,2
D000587,Dwyer,Florence,New Jersey,Republican,R,12
D000467,Dowdy,John,Texas,Democratic,D,2
D000462,Dow,John,New York,Democratic,D,27
C000997,Curlin,William,Kentucky,Democratic,D,6
C000775,Córdova Díaz,Jorge,Puerto Rico,New Progressive,Other,0
C000772,Corbett,Robert,Pennsylvania,Republican,R,18
C000758,Cooper,John,Kentucky,Republican,R,0
C000702,Conover,William,Pennsylvania,Republican,R,27
C000645,Colmer,William,Mississippi,Democratic,D,5
C000637,Collins,George,Illinois,Democratic,D,6
C000264,Celler,Emanuel,New York,Democratic,D,10
C000153,Carlson,Cliffard,Illinois,Republican,R,15
C000017,Caffery,Patrick,Louisiana,Democratic,D,3
C000002,Cabell,Earle,Texas,Democratic,D,5
B001216,Byrnes,John,Wisconsin,Republican,R,8
B001212,Byrne,James,Pennsylvania,Democratic,D,3
B000676,Bow,Frank,Ohio,Republican,R,16
B000594,Boggs,Thomas,Louisiana,Democratic,D,2
B000593,Boggs,James,Delaware,Republican,R,0
B000548,Blanton,Leonard,Tennessee,Democratic,D,7
B000426,Betts,Jackson,Ohio,Republican,R,8
B000323,Belcher,Page,Oklahoma,Republican,R,1
B000315,Begich,Nicholas,Alaska,Democratic,D,0
B000141,Baring,Walter,Nevada,Democratic,D,0
A000225,Aspinall,Wayne,Colorado,Democratic,D,4
A000206,Andrews,George,Alabama,Democratic,D,3
A000205,Andrews,Elizabeth,Alabama,Democratic,D,3
A000203,Anderson,William,Tennessee,Democratic,D,6
A000186,Anderson,Clinton,New Mexico,Democratic,D,0
A000161,Allott,Gordon,Colorado,Republican,R,0
A000016,Abernethy,Thomas,Mississippi,Democratic,D,1
A000002,Abbitt,Watkins,Virginia,Democratic,D,4
W000812,Wagner,Ann,Missouri,Republican,R,2
L000578,LaMalfa,Doug,California,Republican,R,1
G000596,Greene,Marjorie Taylor,Georgia,Republican,R,14
Z000008,Zimmer,Dick,New Jersey,Republican,R,12
S000146,Schulze,Richard T.,Pennsylvania,Republican,R,5
C000077,Campbell,Ben Nighthorse,Colorado,Republican,R,0
R000619,Rulli,Michael A.,Ohio,Republican,R,6
D000628,Dunn,Neal P.,Florida,Republican,R,2
N000147,Norton,Eleanor Holmes,District of Columbia,Democratic,D,0
D000216,DeLauro,Rosa L.,Connecticut,Democratic,D,3
W000187,Waters,Maxine,California,Democratic,D,43
P000197,Pelosi,Nancy,California,Democratic,D,11
V000139,Van Epps,Matt,Tennessee,Republican,R,7
S001207,Sherrill,Mikie,New Jersey,Democratic,D,11
G000606,Grijalva,Adelita S.,Arizona,Democratic,D,7
C001087,Crawford,"Eric A. ""Rick""",Arkansas,Republican,R,1
C000344,Cheney,Dick,Wyoming,Republican,R,0
S000785,Stallings,Richard H.,Idaho,Democratic,D,2
K000180,Kilpatrick,Carolyn C.,Michigan,Democratic,D,13
W000830,Whitesides,George,California,Democratic,D,27
F000484,Fine,Randy,Florida,Republican,R,6
P000622,Patronis,Jimmy,Florida,Republican,R,1
V000138,Vindman,Eugene Simon,Virginia,Democratic,D,7
T000490,Taylor,David J.,Ohio,Republican,R,2
S001230,Subramanyam,Suhas,Virginia,Democratic,D,10
S001229,Shreve,Jefferson,Indiana,Republican,R,6
S001228,Schmidt,Derek,Kansas,Republican,R,2
R000622,Riley,Josh,New York,Democratic,D,19
P000621,Pou,Nellie,New Jersey,Democratic,D,9
O000176,Olszewski,Johnny,Maryland,Democratic,D,2
M001240,McDowell,Addison P.,North Carolina,Republican,R,6
M001239,McGuire,John J.,Virginia,Republican,R,5
M001236,Moore,Tim,North Carolina,Republican,R,14
M001235,Moore,Riley M.,West Virginia,Republican,R,2
M001233,Messmer,Mark B.,Indiana,Republican,R,8
M001232,McClain Delaney,April,Maryland,Democratic,D,6
M001231,Mannion,John W.,New York,Democratic,D,22
M001230,Mackenzie,Ryan,Pennsylvania,Republican,R,7
L000606,Latimer,George,New York,Democratic,D,16
K000405,Knott,Brad,North Carolina,Republican,R,13
K000403,Kennedy,Mike,Utah,Republican,R,3
J000310,Johnson,Julie,Texas,Democratic,D,32
H001103,Hernández,Pablo Jose,Puerto Rico,Democratic,D,0
H001102,Harris,Mark,North Carolina,Republican,R,8
H001101,Harrigan,Pat,North Carolina,Republican,R,10
G000604,Goodlander,Maggie,New Hampshire,Democratic,D,2
G000603,Gill,Brandon,Texas,Republican,R,26
G000602,Gillen,Laura,New York,Democratic,D,4
G000601,Goldman,Craig A.,Texas,Republican,R,12
F000483,Friedman,Laura,California,Democratic,D,30
F000482,Fedorchak,Julie,North Dakota,Republican,R,0
E000301,Elfreth,Sarah,Maryland,Democratic,D,3
D000635,Dexter,Maxine,Oregon,Democratic,D,3
D000634,Downing,Troy,Montana,Republican,R,2
C001136,Conaway,Herbert C.,New Jersey,Democratic,D,3
B001327,Bresnahan,Robert P.,Pennsylvania,Republican,R,8
B001326,Bynum,Janelle S.,Oregon,Democratic,D,5
B001325,Biggs,Sheri,South Carolina,Republican,R,3
B001322,Baumgartner,Michael,Washington,Republican,R,5
B001321,Barrett,Tom,Michigan,Republican,R,7
M001218,McCormick,Richard,Georgia,Republican,R,7
S001188,Stutzman,Marlin A.,Indiana,Republican,R,3
F000110,Fields,Cleo,Louisiana,Democratic,D,6
O000177,Onder,Robert F.,Missouri,Republican,R,3
M001238,McBride,Sarah,Delaware,Democratic,D,0
M001234,Morrison,Kelly,Minnesota,Democratic,D,3
K000404,King-Hinds,Kimberlyn,Northern Mariana Islands,Republican,R,0
J000311,Jack,Brian,Georgia,Republican,R,3
H001099,Haridopolos,Mike,Florida,Republican,R,8
F000481,Figures,Shomari,Alabama,Democratic,D,2
E000300,Evans,Gabe,Colorado,Republican,R,8
C001137,Crank,Jeff,Colorado,Republican,R,5
B001324,Bell,Wesley,Missouri,Democratic,D,1
W000829,Wied,Tony,Wisconsin,Republican,R,8
M001229,McIver,LaMonica,New Jersey,Democratic,D,10
F000480,Fong,Vince,California,Republican,R,20
K000402,Kennedy,Timothy M.,New York,Democratic,D,26
M001228,Maloy,Celeste,Utah,Republican,R,2
A000380,Amo,Gabe,Rhode Island,Democratic,D,1
M001227,McClellan,Jennifer L.,Virginia,Democratic,D,4
V000135,Van Orden,Derrick,Wisconsin,Republican,R,3
S001224,Self,Keith,Texas,Republican,R,3
G000600,Perez,Marie Gluesenkamp,Washington,Democratic,D,3
O000175,Ogles,Andrew,Tennessee,Republican,R,5
M001224,Moran,Nathaniel,Texas,Republican,R,1
M001223,Magaziner,Seth,Rhode Island,Democratic,D,2
L000603,Luttrell,Morgan,Texas,Republican,R,8
L000602,Lee,Summer L.,Pennsylvania,Democratic,D,12
K000399,Kiggans,Jennifer A.,Virginia,Republican,R,2
H001095,Hunt,Wesley,Texas,Republican,R,38
H001096,Hageman,Harriet M.,Wyoming,Republican,R,0
F000478,Fry,Russell,South Carolina,Republican,R,7
D000530,Deluzio,Christopher R.,Pennsylvania,Democratic,D,17
D000594,De La Cruz,Monica,Texas,Republican,R,15
C001130,Crockett,Jasmine,Texas,Democratic,D,30
C001131,Casar,Greg,Texas,Democratic,D,35
B001318,Balint,Becca,Vermont,Democratic,D,0
M001212,Moore,Barry,Alabama,Republican,R,1
F000472,Franklin,Scott,Florida,Republican,R,18
B000825,Boebert,Lauren,Colorado,Republican,R,4
M001205,Miller,Carol D.,West Virginia,Republican,R,1
M001208,McBath,Lucy,Georgia,Democratic,D,6
C001123,Cisneros,Gilbert Ray,California,Democratic,D,31
S001205,Scanlon,Mary Gay,Pennsylvania,Democratic,D,5
G000581,Gonzalez,Vicente,Texas,Democratic,D,34
S001201,Suozzi,Thomas R.,New York,Democratic,D,3
G000553,Green,Al,Texas,Democratic,D,9
D000399,Doggett,Lloyd,Texas,Democratic,D,37
V000136,Vasquez,Gabe,New Mexico,Democratic,D,2
T000487,Tokuda,Jill N.,Hawaii,Democratic,D,2
T000488,Thanedar,Shri,Michigan,Democratic,D,13
S001223,Sykes,Emilia Strong,Ohio,Democratic,D,13
S001225,Sorensen,Eric,Illinois,Democratic,D,17
S001221,Scholten,Hillary J.,Michigan,Democratic,D,3
S001226,Salinas,Andrea,Oregon,Democratic,D,6
R000617,Ramirez,Delia C.,Illinois,Democratic,D,3
N000193,Nunn,Zachary,Iowa,Republican,R,3
M001219,Moylan,James C.,Guam,Republican,R,0
M001217,Moskowitz,Jared,Florida,Democratic,D,23
M001216,Mills,Cory,Florida,Republican,R,7
M001222,Miller,Max L.,Ohio,Republican,R,7
M001226,Menendez,Robert,New Jersey,Democratic,D,8
M001220,McGarvey,Morgan,Kentucky,Democratic,D,3
L000596,Luna,Anna Paulina,Florida,Republican,R,13
L000597,Lee,Laurel M.,Florida,Republican,R,15
L000599,Lawler,Michael,New York,Republican,R,17
L000600,Langworthy,Nicholas A.,New York,Republican,R,23
L000601,Landsman,Greg,Ohio,Democratic,D,1
L000598,LaLota,Nick,New York,Republican,R,1
K000398,Kean,Thomas H.,New Jersey,Republican,R,7
J000307,James,John,Michigan,Republican,R,10
J000309,Jackson,Jonathan L.,Illinois,Democratic,D,1
I000058,Ivey,Glenn,Maryland,Democratic,D,4
H001094,Hoyle,Val T.,Oregon,Democratic,D,4
H001093,Houchin,Erin,Indiana,Republican,R,9
G000599,Goldman,Daniel S.,New York,Democratic,D,10
F000477,Foushee,Valerie P.,North Carolina,Democratic,D,4
E000235,Ezell,Mike,Mississippi,Republican,R,4
E000246,Edwards,Chuck,North Carolina,Republican,R,11
D000230,Davis,Donald G.,North Carolina,Democratic,D,1
C001129,Collins,Mike,Georgia,Republican,R,10
B001316,Burlison,Eric,Missouri,Republican,R,7
B001315,Budzinski,Nikki,Illinois,Democratic,D,13
B001317,Brecheen,Josh,Oklahoma,Republican,R,2
A000379,Alford,Mark,Missouri,Republican,R,4
R000579,Ryan,Patrick,New York,Democratic,D,18
M001215,Miller-Meeks,Mariannette,Iowa,Republican,R,1
M001136,McClain,Lisa C.,Michigan,Republican,R,9
H001091,Hinson,Ashley,Iowa,Republican,R,2
G000593,Gimenez,Carlos A.,Florida,Republican,R,28
T000481,Tlaib,Rashida,Michigan,Democratic,D,12
T000478,Tenney,Claudia,New York,Republican,R,24
M001199,Mast,Brian J.,Florida,Republican,R,21
R000609,Rutherford,John H.,Florida,Republican,R,5
L000585,LaHood,Darin,Illinois,Republican,R,16
Z000018,Zinke,Ryan K.,Montana,Republican,R,1
D000624,Dingell,Debbie,Michigan,Democratic,D,6
M001194,Moolenaar,John R.,Michigan,Republican,R,2
H001067,Hudson,Richard,North Carolina,Republican,R,9
F000462,Frankel,Lois,Florida,Democratic,D,22
H001058,Huizenga,Bill,Michigan,Republican,R,4
W000798,Walberg,Tim,Michigan,Republican,R,5
N000002,Nadler,Jerrold,New York,Democratic,D,12
W000797,Wasserman Schultz,Debbie,Florida,Democratic,D,25
D000600,Diaz-Balart,Mario,Florida,Republican,R,26
S001220,Strong,Dale W.,Alabama,Republican,R,5
P000620,Pettersen,Brittany,Colorado,Democratic,D,7
M001225,Mullin,Kevin,California,Democratic,D,15
K000400,Kamlager-Dove,Sydney,California,Democratic,D,37
G000598,Garcia,Robert,California,Democratic,D,42
C001132,Crane,Elijah,Arizona,Republican,R,2
C001133,Ciscomani,Juan,Arizona,Republican,R,6
B001314,Bean,Aaron,Florida,Republican,R,4
Y000067,Yakym,Rudy,Indiana,Republican,R,2
F000475,Finstad,Brad,Minnesota,Republican,R,1
F000474,Flood,Mike,Nebraska,Republican,R,1
C001126,Carey,Mike,Ohio,Republican,R,15
B001313,Brown,Shontel M.,Ohio,Democratic,D,11
E000071,Ellzey,Jake,Texas,Republican,R,6
S001218,Stansbury,Melanie A.,New Mexico,Democratic,D,1
C001125,Carter,Troy A.,Louisiana,Democratic,D,2
L000595,Letlow,Julia,Louisiana,Republican,R,5
O000019,Obernolte,Jay,California,Republican,R,23
K000397,Kim,Young,California,Republican,R,40
V000134,Van Duyne,Beth,Texas,Republican,R,24
S001159,Strickland,Marilyn,Washington,Democratic,D,10
O000086,Owens,Burgess,Utah,Republican,R,4
N000026,Nehls,Troy E.,Texas,Republican,R,22
M001213,Moore,Blake D.,Utah,Republican,R,1
J000305,Jacobs,Sara,California,Democratic,D,51
J000304,Jackson,Ronny,Texas,Republican,R,13
F000471,Fitzgerald,Scott,Wisconsin,Republican,R,5
H001090,Harder,Josh,California,Democratic,D,9
S001211,Stanton,Greg,Arizona,Democratic,D,4
P000613,Panetta,Jimmy,California,Democratic,D,19
L000582,Lieu,Ted,California,Democratic,D,36
A000371,Aguilar,Pete,California,Democratic,D,33
D000623,DeSaulnier,Mark,California,Democratic,D,10
P000608,Peters,Scott H.,California,Democratic,D,50
V000130,Vargas,Juan,California,Democratic,D,52
T000472,Takano,Mark,California,Democratic,D,39
R000599,Ruiz,Raul,California,Democratic,D,25
V000129,Valadao,David G.,California,Republican,R,22
B001287,Bera,Ami,California,Democratic,D,6
G000559,Garamendi,John,California,Democratic,D,8
C001080,Chu,Judy,California,Democratic,D,28
S001183,Schweikert,David,Arizona,Republican,R,1
G000565,Gosar,Paul A.,Arizona,Republican,R,9
M001177,McClintock,Tom,California,Republican,R,5
M001163,Matsui,Doris O.,California,Democratic,D,7
T000460,Thompson,Mike,California,Democratic,D,4
S000344,Sherman,Brad,California,Democratic,D,32
S000250,Sessions,Pete,Texas,Republican,R,17
I000056,Issa,Darrell,California,Republican,R,48
C000059,Calvert,Ken,California,Republican,R,41
L000397,Lofgren,Zoe,California,Democratic,D,18
W000788,Williams,Nikema,Georgia,Democratic,D,5
T000486,Torres,Ritchie,New York,Democratic,D,15
S000929,Spartz,Victoria,Indiana,Republican,R,5
S000168,Salazar,Maria Elvira,Florida,Republican,R,27
R000305,Ross,Deborah K.,North Carolina,Democratic,D,2
P000048,Pfluger,August,Texas,Republican,R,11
M001214,Mrvan,Frank J.,Indiana,Democratic,D,1
M001211,Miller,Mary E.,Illinois,Republican,R,15
M000871,Mann,Tracey,Kansas,Republican,R,1
M000317,Malliotakis,Nicole,New York,Republican,R,11
M000194,Mace,Nancy,South Carolina,Republican,R,1
L000273,Leger Fernandez,Teresa,New Mexico,Democratic,D,3
H001086,Harshbarger,Diana,Tennessee,Republican,R,1
G000597,Garbarino,Andrew R.,New York,Republican,R,2
F000470,Fischbach,Michelle,Minnesota,Republican,R,7
F000446,Feenstra,Randy,Iowa,Republican,R,4
F000246,Fallon,Pat,Texas,Republican,R,4
D000032,Donalds,Byron,Florida,Republican,R,19
C001116,Clyde,Andrew S.,Georgia,Republican,R,9
C001039,Cammack,Kat,Florida,Republican,R,3
B000740,Bice,Stephanie I.,Oklahoma,Republican,R,5
B000668,Bentz,Cliff,Oregon,Republican,R,2
A000148,Auchincloss,Jake,Massachusetts,Democratic,D,4
T000165,Tiffany,Thomas P.,Wisconsin,Republican,R,7
M001210,Murphy,Gregory F.,North Carolina,Republican,R,3
G000592,Golden,Jared F.,Maine,Democratic,D,2
S001213,Steil,Bryan,Wisconsin,Republican,R,1
S001216,Schrier,Kim,Washington,Democratic,D,8
G000587,Garcia,Sylvia R.,Texas,Democratic,D,29
R000614,Roy,Chip,Texas,Republican,R,21
E000299,Escobar,Veronica,Texas,Democratic,D,16
F000468,Fletcher,Lizzie,Texas,Democratic,D,7
G000589,Gooden,Lance,Texas,Republican,R,5
R000612,Rose,John W.,Tennessee,Republican,R,6
B001309,Burchett,Tim,Tennessee,Republican,R,2
J000301,Johnson,Dusty,South Dakota,Republican,R,0
T000480,Timmons,William R.,South Carolina,Republican,R,4
R000610,Reschenthaler,Guy,Pennsylvania,Republican,R,14
J000302,Joyce,John,Pennsylvania,Republican,R,13
M001204,Meuser,Daniel,Pennsylvania,Republican,R,9
H001085,Houlahan,Chrissy,Pennsylvania,Democratic,D,6
D000631,Dean,Madeleine,Pennsylvania,Democratic,D,4
V000133,Van Drew,Jefferson,New Jersey,Republican,R,2
C001119,Craig,Angie,Minnesota,Democratic,D,2
G000586,García,"Jesús G. ""Chuy""",Illinois,Democratic,D,4
S001199,Smucker,Lloyd,Pennsylvania,Republican,R,11
E000296,Evans,Dwight,Pennsylvania,Democratic,D,3
P000605,Perry,Scott,Pennsylvania,Republican,R,10
K000376,Kelly,Mike,Pennsylvania,Republican,R,16
T000467,Thompson,Glenn,Pennsylvania,Republican,R,15
M000687,Mfume,Kweisi,Maryland,Democratic,D,7
W000831,Walkinshaw,James R.,Virginia,Democratic,D,11
O000172,Ocasio-Cortez,Alexandria,New York,Democratic,D,14
L000590,Lee,Susie,Nevada,Democratic,D,3
P000614,Pappas,Chris,New Hampshire,Democratic,D,1
G000591,Guest,Michael,Mississippi,Republican,R,3
S001212,Stauber,Pete,Minnesota,Republican,R,8
O000173,Omar,Ilhan,Minnesota,Democratic,D,5
S001215,Stevens,Haley M.,Michigan,Democratic,D,11
P000617,Pressley,Ayanna,Massachusetts,Democratic,D,7
T000482,Trahan,Lori,Massachusetts,Democratic,D,3
D000629,Davids,Sharice,Kansas,Democratic,D,3
B001307,Baird,James R.,Indiana,Republican,R,4
U000040,Underwood,Lauren,Illinois,Democratic,D,14
C001117,Casten,Sean,Illinois,Democratic,D,6
F000469,Fulcher,Russ,Idaho,Republican,R,1
S001214,Steube,W. Gregory,Florida,Republican,R,17
H001081,Hayes,Jahana,Connecticut,Democratic,D,5
N000191,Neguse,Joe,Colorado,Democratic,D,2
L000593,Levin,Mike,California,Democratic,D,49
H001082,Hern,Kevin,Oklahoma,Republican,R,1
M001206,Morelle,Joseph D.,New York,Democratic,D,25
B001306,Balderson,Troy,Ohio,Republican,R,12
C001115,Cloud,Michael,Texas,Republican,R,27
G000585,Gomez,Jimmy,California,Democratic,D,34
N000190,Norman,Ralph,South Carolina,Republican,R,5
E000298,Estes,Ron,Kansas,Republican,R,4
J000298,Jayapal,Pramila,Washington,Democratic,D,7
